District,STATE,floamy,sandy,clayskeletal,clayey
Adilabad,Telangana,0.130304969,0,0.017253416,0.741428571
Agar Malwa,Madhya Pradesh,0.119953153,0,0.029261261,0.790843243
Agra,Uttar Pradesh,0.852639264,0,0,0.04344908
Ahamadnagar,Maharashtra,0.341902937,0,0,0.605342144
Ahmadabad,Gujarat,0.380904152,0,5.09E-05,0.470228028
Ajmer,Rajasthan,0.78155277,0.052068222,0,0.025049563
Akola,Maharashtra,0.183605882,0,0,0.769758824
Alappuzha,Kerala,0,0.047122414,0.172384483,0.320536207
Alirajpur,Madhya Pradesh,0.536930769,0,0,0.428191538
Allgarh,Uttar Pradesh,0.791658784,0.01865473,0,0.092171622
Allpur Duar,West Bengal,0.839364602,0,0,0
Almora,Uttarakhand,0.743582258,0.059940323,0,0
Alwar,Rajasthan,0.640088657,0.127116716,0,0.003812836
Alzawl,Mizoram,0.818654032,0,0,0.156160484
Amaravati,Maharashtra,0.342593568,0,0,0.622337967
Ambala,Haryana,0.84675,0,0,0
Ambedkarnagar,Uttar Pradesh,0.677435165,0,0,0.121292308
Amethi,Uttar Pradesh,0.495721429,0,0,0.440607143
Amreli,Gujarat,0.131735495,0.037698976,0.003754608,0.716121843
Amritsar,Punjab,0.736606604,0,0,0.037387736
Amroha,Uttar Pradesh,0.680290816,0.209841837,0,0.005887755
Anand,Gujarat,0.67024127,0.000398413,0,0.119405556
Anantapur,Andhra Pradesh,0.026748582,0,0.353633247,0.340961727
Anantnag,Jammu And Kashmlr,0.418956481,0,0,0
Anjaw,Arunachal Pradesh,0.09387395,0.003656303,0,0.098791597
Anugul,Odisha,0.698069922,0,0,0.200259375
Anuppur,Madhya Pradesh,0.736055333,0,0,0.225465333
Araria,Bihar,0.676315315,0.141576577,0,0
Aravalli,Gujarat,0.547378295,0.007029457,0,0.335896124
Ariyalr,Tamil Nadu,0.193872727,0,0,0.703220779
Arwal,Bihar,0.0371,0,0,0.629004348
Ashoknagar,Madhya Pradesh,0.045993122,0,0,0.846020106
Auraiya,Uttar Pradesh,0.918598765,0,0,0.007512346
Aurangabad,Bihar,0.123832061,0,0,0.684648855
Aurangabad,Bihar,0.123832061,0,0,0.684648855
Aurangabad,Bihar,0.123832061,0,0,0.684648855
Aurangabad,Bihar,0.123832061,0,0,0.684648855
Aurangabad,Bihar,0.376249502,0,0,0.684648855
Aurangabad,Bihar,0.376249502,0,0,0.684648855
Aurangabad,Bihar,0.376249502,0,0,0.684648855
Aurangabad,Bihar,0.376249502,0,0,0.684648855
Aurangabad,Maharashtra,0.123832061,0,0,0.568999254
Aurangabad,Maharashtra,0.123832061,0,0,0.568999254
Aurangabad,Maharashtra,0.123832061,0,0,0.568999254
Aurangabad,Maharashtra,0.123832061,0,0,0.568999254
Aurangabad,Maharashtra,0.376249502,0,0,0.568999254
Aurangabad,Maharashtra,0.376249502,0,0,0.568999254
Aurangabad,Maharashtra,0.376249502,0,0,0.568999254
Aurangabad,Maharashtra,0.376249502,0,0,0.568999254
Ayodhya,Uttar Pradesh,0.687833028,0,0,0.130133945
Azamgarh,Uttar Pradesh,0.834634503,0,0,0.007801754
Badgam,Jammu And Kashmlr,0.507438,0,0,0
Bagalkot,Karnataka,0.291131835,0,0.072329213,0.391628839
Bageshwar,Uttarakhand,0.427190909,0.109310227,0,0
Baghpat,Uttar Pradesh,0.744371154,0.125325,0,0
Bahraich,Uttar Pradesh,0.542067526,0.096919588,0,0.152045876
Baksa,Assam,0.877378125,0,0,0.008995833
Balaghat,Madhya Pradesh,0.583384153,0,0,0.380271311
Balasore Baleshwar,Odisha,0.663937584,0,0,0.170433557
Ballari,Karnataka,0.219635629,0,0.242447605,0.33435988
Ballia,Uttar Pradesh,0.77639913,3.83E-05,0,0
Balod,Chhattlsgarh,0.441340146,0,0.021105109,0.422607299
Baloda Bazar,Chhattlsgarh,0.261185405,0,0,0.643308108
Balrampur,Chhattlsgarh,0.627360643,0.015231727,0,0.174487952
Balrampur,Chhattlsgarh,0.627360643,0.015231727,0,0.174487952
Balrampur,Chhattlsgarh,0.627360643,0.051294656,0,0.174487952
Balrampur,Chhattlsgarh,0.627360643,0.051294656,0,0.174487952
Balrampur,Chhattlsgarh,0.751149618,0.015231727,0,0.174487952
Balrampur,Chhattlsgarh,0.751149618,0.015231727,0,0.174487952
Balrampur,Chhattlsgarh,0.751149618,0.051294656,0,0.174487952
Balrampur,Chhattlsgarh,0.751149618,0.051294656,0,0.174487952
Balrampur,Uttar Pradesh,0.627360643,0.015231727,0,0.015751908
Balrampur,Uttar Pradesh,0.627360643,0.015231727,0,0.015751908
Balrampur,Uttar Pradesh,0.627360643,0.051294656,0,0.015751908
Balrampur,Uttar Pradesh,0.627360643,0.051294656,0,0.015751908
Balrampur,Uttar Pradesh,0.751149618,0.015231727,0,0.015751908
Balrampur,Uttar Pradesh,0.751149618,0.015231727,0,0.015751908
Balrampur,Uttar Pradesh,0.751149618,0.051294656,0,0.015751908
Balrampur,Uttar Pradesh,0.751149618,0.051294656,0,0.015751908
Banas Kantha,Gujarat,0.664424356,0.133823185,0,0.075661358
Banda,Uttar Pradesh,0.409086932,0.075075,0,0.430859091
Bandipura,Jammu And Kashmlr,0.13182327,0.001846541,0,0
Banka,Bihar,0.559016667,0,0,0.314460833
Bankura,West Bengal,0.618629242,0,0,0.200594585
Banswara,Rajasthan,0.292585165,0.006347802,0,0.560195604
Barabanki,Uttar Pradesh,0.807140789,0.000740132,0,0.074928289
Baragarh,Odisha,0.361519214,0,0,0.537046288
Baramla,Jammu And Kashmlr,0.387661628,0,0,0
Baran,Rajasthan,0.072879783,0.007979061,0,0.679844404
Bareilly,Uttar Pradesh,0.886229268,0.000204268,0,0.056037195
Barmer,Rajasthan,0.292519912,0.645997895,0,0.007955
Barnala,Punjab,0.891187931,0.029910345,0,0
Barpeta,Assam,0.518920225,0,0,0.052769663
Barwani,Madhya Pradesh,0.305103182,0,0,0.393844545
Bastar,Chhattlsgarh,0.704769725,0,0,0.224693119
Basti,Uttar Pradesh,0.823860177,0,0,0.027171681
Bathinda,Punjab,0.657580597,0.179064179,0,0.062414925
Baudh Bauda,Odisha,0.733084553,0,0,0.182439837
Begusarai,Bihar,0.707402532,0.010075949,0,0.059398734
Belagavi,Karnataka,0.366783178,0,0.102400374,0.386759252
Bemetara,Chhattlsgarh,0.098070455,0,0,0.822769318
Bengalru Rural,Karnataka,0,0,0.287929897,0.602757732
Bengalru Urban,Karnataka,0,0,0.154667442,0.406109302
Betul,Madhya Pradesh,0.559101716,0,0,0.390378676
Bhadohi,Uttar Pradesh,0.7359325,0.0293525,0,0.1069375
Bhadradri Kothagudem,Telangana,0.386630769,0,0.087647253,0.280275092
Bhadrak,Odisha,0.515765306,0,0.023761224,0.188722449
Bhagalpur,Bihar,0.582345455,0.008782828,0,0.085627273
Bhandara,Maharashtra,0.419691566,0,0,0.509378916
Bharatpur,Rajasthan,0.821654187,0.092284236,0,0
Bharch,Gujarat,0.201341919,0,0,0.527633333
Bhavnagar,Gujarat,0.083515356,0,0.006223596,0.708138951
