"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"1","2000","14","Chhattisgarh","Durg","1983.7","491.04","34.99","143.21","41.0","132.88","43.42","59.43","1023.38","1210.93","118.33"
"1","2001","14","Chhattisgarh","Durg","1983.7","491.16","33.79","144.93","42.28","131.52","45.25","44.66","1035.78","1341.98","129.56"
"1","2002","14","Chhattisgarh","Durg","1986.17","491.39","111.64","67.14","42.73","133.51","44.98","47.61","1032.39","1283.3","124.3"
"1","2003","14","Chhattisgarh","Durg","1986.17","491.53","34.14","146.27","43.1","133.3","43.94","40.97","1038.52","1379.58","132.84"
"1","2004","14","Chhattisgarh","Durg","1986.17","491.58","36.55","145.12","42.36","132.79","43.57","40.15","1039.53","1416.16","136.23"
"1","2005","14","Chhattisgarh","Durg","1986.17","491.48","37.88","143.34","43.66","133.77","42.1","37.94","1041.71","1435.08","137.76"
"1","2006","14","Chhattisgarh","Durg","1986.17","491.4","36.8","144.83","43.55","134.56","41.96","38.81","1039.95","1433.76","137.87"
"1","2007","14","Chhattisgarh","Durg","1986.17","491.4","36.72","146.54","45.51","133.46","41.89","38.16","1038.2","1444.62","139.15"
"1","2008","14","Chhattisgarh","Durg","1986.17","491.22","34.2","149.43","45.55","134.47","43.47","41.89","1031.64","1391.09","134.84"
"1","2009","14","Chhattisgarh","Durg","1986.17","490.88","35.2","149.18","46.54","134.93","45.31","42.98","1026.77","1361.03","132.55"
"1","2010","14","Chhattisgarh","Durg","1986.17","491.36","36.29","148.17","48.77","134.03","48.05","38.42","1026.61","1403.63","136.73"
"1","2011","14","Chhattisgarh","Durg","1988.17","493.3","37.58","151.32","50.33","135.62","47.15","41.93","1030.41","1409.94","136.83"
"1","2012","14","Chhattisgarh","Durg","1988.17","493.28","35.36","153.7","50.47","137.65","47.44","40.82","1029.07","1415.98","137.6"
"1","2013","14","Chhattisgarh","Durg","1639.34","142.45","34.94","153.26","52.36","137.99","46.51","40.78","1030.52","1431.3","138.89"
"1","2014","14","Chhattisgarh","Durg","1640.28","143.14","34.74","155.01","53.55","137.47","48.37","41.44","1026.15","1438.76","140.21"
"1","2015","14","Chhattisgarh","Durg","1640.28","143.12","35.15","155.51","53.48","137.15","47.19","38.36","1030.0","1438.03","139.61"
"1","2016","14","Chhattisgarh","Durg","1988.17","488.91","34.19","155.72","52.76","137.37","44.04","34.67","1038.21","1467.94","141.39"
"1","2017","14","Chhattisgarh","Durg","1988.17","489.42","33.13","156.53","51.21","136.35","40.01","30.72","1048.51","1452.98","138.58"
"1","2018","14","Chhattisgarh","Durg","1988.17","491.44","32.76","154.48","42.78","138.39","34.51","28.9","1061.88","1503.0","141.54"
"1","2019","14","Chhattisgarh","Durg","1988.17","491.44","33.45","154.67","43.15","136.78","36.31","35.69","1053.7","1614.97","153.27"
"1","2020","14","Chhattisgarh","Durg","1988.17","488.98","33.67","156.94","40.65","137.24","37.97","37.46","1053.67","1607.52","152.56"
"2","2000","14","Chhattisgarh","Bastar","3901.99","2407.97","100.23","99.05","194.54","121.5","43.69","50.31","856.61","880.01","102.73"
"2","2001","14","Chhattisgarh","Bastar","3901.84","2405.56","99.59","102.21","190.88","120.79","44.31","49.17","857.73","884.78","103.15"
"2","2002","14","Chhattisgarh","Bastar","3901.85","2407.75","100.11","104.49","191.72","124.05","47.11","62.56","836.07","856.56","102.45"
"2","2003","14","Chhattisgarh","Bastar","3901.75","2407.02","100.07","106.21","197.5","116.79","45.97","55.58","844.57","872.65","103.32"
"2","2004","14","Chhattisgarh","Bastar","3901.75","2407.36","99.82","107.08","192.84","119.64","46.98","56.25","843.75","872.31","103.38"
"2","2005","14","Chhattisgarh","Bastar","3901.75","2407.79","117.07","88.95","189.8","124.04","47.32","54.9","842.86","872.18","103.48"
"2","2006","14","Chhattisgarh","Bastar","3903.76","2412.25","120.28","90.67","204.19","126.63","51.91","81.85","867.8","899.94","103.7"
"2","2007","14","Chhattisgarh","Bastar","3903.76","2411.2","118.83","90.98","196.35","127.32","68.18","60.4","816.82","848.55","103.88"
"2","2008","14","Chhattisgarh","Bastar","3903.76","2411.49","118.65","90.46","200.68","123.82","66.63","60.39","817.63","848.65","103.79"
"2","2009","14","Chhattisgarh","Bastar","3903.76","2413.25","118.54","92.45","198.44","124.67","63.98","62.83","815.61","845.84","103.71"
"2","2010","14","Chhattisgarh","Bastar","3903.76","2398.38","113.71","100.9","200.2","122.87","59.58","59.22","834.85","867.33","103.89"
"2","2011","14","Chhattisgarh","Bastar","3905.76","2415.68","102.36","114.71","199.69","130.66","62.44","66.72","813.45","844.83","103.86"
"2","2012","14","Chhattisgarh","Bastar","3905.76","2416.07","102.49","113.92","203.7","127.84","60.6","62.98","818.08","850.17","103.92"
"2","2013","14","Chhattisgarh","Bastar","2350.0","858.45","102.29","113.63","190.88","142.91","59.74","61.58","820.48","853.63","104.04"
"2","2014","14","Chhattisgarh","Bastar","2357.91","859.21","102.26","115.54","192.87","144.12","62.6","58.89","822.42","856.61","104.16"
"2","2015","14","Chhattisgarh","Bastar","2357.91","855.79","101.63","116.38","203.32","142.24","58.97","67.78","811.81","844.52","104.03"
"2","2016","14","Chhattisgarh","Bastar","3905.75","2400.88","101.62","118.64","195.63","148.45","60.16","63.12","817.24","849.21","103.91"
"2","2017","14","Chhattisgarh","Bastar","3905.75","2400.65","101.54","118.22","202.1","142.75","59.54","65.28","815.2","846.6","103.85"
"2","2018","14","Chhattisgarh","Bastar","3904.22","2394.36","102.37","118.59","204.21","143.42","59.29","67.21","813.45","844.55","103.82"
"2","2019","14","Chhattisgarh","Bastar","3904.22","2396.25","102.73","128.75","200.89","146.27","65.12","72.49","790.12","830.92","105.16"
"2","2020","14","Chhattisgarh","Bastar","4160.82","2655.41","102.88","119.86","208.42","146.54","68.13","84.28","773.5","811.22","104.88"
"3","2000","14","Chhattisgarh","Raipur","2247.13","886.25","16.02","151.31","39.94","138.16","31.33","33.62","936.45","1044.84","111.57"
"3","2001","14","Chhattisgarh","Raipur","2196.75","835.52","15.91","152.49","39.93","137.41","30.86","21.25","949.22","1129.93","119.04"
"3","2002","14","Chhattisgarh","Raipur","2247.06","886.17","15.91","151.92","41.26","137.16","31.02","23.21","946.24","1095.77","115.8"
"3","2003","14","Chhattisgarh","Raipur","2247.12","886.34","15.87","152.77","41.34","137.56","31.57","20.06","947.37","1179.44","124.5"
"3","2004","14","Chhattisgarh","Raipur","2247.12","886.16","16.13","152.72","40.85","137.54","31.52","19.51","948.65","1173.2","123.67"
"3","2005","14","Chhattisgarh","Raipur","2247.12","886.04","16.06","154.46","42.59","136.49","32.34","19.08","945.91","1181.94","124.95"
"3","2006","14","Chhattisgarh","Raipur","2247.12","886.2","16.01","155.36","41.54","137.16","30.28","18.58","945.86","1191.47","125.97"
"3","2007","14","Chhattisgarh","Raipur","2247.12","884.91","15.84","155.52","40.48","138.35","32.94","18.89","946.02","1206.64","127.55"
"3","2008","14","Chhattisgarh","Raipur","2247.12","839.71","16.08","156.89","41.13","138.02","33.2","21.97","940.77","1175.23","124.92"
"3","2009","14","Chhattisgarh","Raipur","2247.12","884.22","15.85","157.71","41.27","138.49","35.64","23.65","936.16","1152.93","123.16"
"3","2010","14","Chhattisgarh","Raipur","2247.12","884.84","15.82","158.24","42.79","138.48","18.1","36.0","938.71","1179.8","125.68"
"3","2011","14","Chhattisgarh","Raipur","2249.12","886.9","18.12","162.01","44.46","139.66","38.86","19.32","939.63","1160.96","123.56"
"3","2012","14","Chhattisgarh","Raipur","2249.12","887.04","17.48","164.67","47.47","139.18","37.77","18.47","936.8","1184.23","126.41"
"3","2013","14","Chhattisgarh","Raipur","1534.28","157.44","17.83","166.31","47.64","143.16","38.19","16.63","946.79","1191.32","125.83"
"3","2014","14","Chhattisgarh","Raipur","1537.77","154.56","17.84","168.21","46.65","144.12","35.69","16.7","953.71","1220.67","127.99"
"3","2015","14","Chhattisgarh","Raipur","1538.31","156.16","17.85","167.64","48.86","146.5","35.79","17.6","947.72","1161.84","122.59"
"3","2016","14","Chhattisgarh","Raipur","2249.12","869.86","17.88","169.21","48.83","145.57","37.57","19.14","940.87","1176.4","125.03"
"3","2017","14","Chhattisgarh","Raipur","2249.12","867.32","18.86","170.51","48.12","144.87","35.98","23.48","939.7","1119.83","119.17"
"3","2018","14","Chhattisgarh","Raipur","2249.12","864.77","19.49","169.63","48.78","144.17","35.59","18.88","947.61","1145.17","120.85"
"3","2019","14","Chhattisgarh","Raipur","2249.12","864.59","17.98","171.72","49.57","145.89","34.35","30.06","934.81","1136.15","121.54"
"3","2020","14","Chhattisgarh","Raipur","2249.12","872.33","17.31","172.3","47.18","145.32","33.91","27.78","932.87","1131.73","121.32"
"4","2000","14","Chhattisgarh","Bilaspur","2145.06","947.57","45.09","106.69","35.91","130.12","30.24","33.13","809.29","935.85","115.64"
"4","2001","14","Chhattisgarh","Bilaspur","2145.06","947.25","44.58","108.27","35.17","129.65","29.09","25.47","818.53","975.1","119.13"
"4","2002","14","Chhattisgarh","Bilaspur","2146.07","948.31","45.05","108.97","35.67","130.66","30.14","30.02","810.22","957.32","118.16"
"4","2003","14","Chhattisgarh","Bilaspur","2146.07","948.5","45.28","108.35","36.27","130.18","29.49","25.19","815.75","998.87","122.45"
"4","2004","14","Chhattisgarh","Bilaspur","2146.07","948.45","46.86","107.41","36.97","129.5","29.6","26.11","814.16","995.56","122.28"
"4","2005","14","Chhattisgarh","Bilaspur","2146.07","948.78","45.25","107.76","39.22","129.85","30.29","25.84","812.02","999.62","123.1"
"4","2006","14","Chhattisgarh","Bilaspur","2146.07","947.54","45.49","108.95","38.96","131.29","30.12","19.98","812.12","1015.08","124.99"
"4","2007","14","Chhattisgarh","Bilaspur","2146.07","945.68","46.0","109.91","39.54","130.62","29.95","26.16","811.19","997.26","122.94"
"4","2008","14","Chhattisgarh","Bilaspur","2146.07","945.58","44.56","112.63","39.58","130.94","30.61","27.07","808.02","1023.34","126.65"
"4","2009","14","Chhattisgarh","Bilaspur","2146.07","944.86","44.56","113.05","40.86","132.14","32.16","27.38","803.95","974.34","121.19"
"4","2010","14","Chhattisgarh","Bilaspur","2146.07","945.28","45.15","112.65","40.66","131.31","26.3","31.91","805.68","1004.66","124.7"
"4","2011","14","Chhattisgarh","Bilaspur","2147.07","947.21","46.17","110.89","43.79","134.75","32.86","26.77","804.53","1031.79","128.25"
"4","2012","14","Chhattisgarh","Bilaspur","2147.07","947.12","46.5","113.07","42.97","133.36","31.54","29.94","802.48","1028.36","128.15"
"4","2013","14","Chhattisgarh","Bilaspur","1518.67","318.71","46.51","112.68","43.81","133.63","31.05","29.1","803.08","1006.84","125.37"
"4","2014","14","Chhattisgarh","Bilaspur","1518.67","318.74","45.18","111.58","44.04","133.36","32.74","28.81","804.11","1005.75","125.08"
"4","2015","14","Chhattisgarh","Bilaspur","1518.67","318.91","45.18","111.3","44.1","133.71","31.57","32.22","801.51","1008.59","125.84"
"4","2016","14","Chhattisgarh","Bilaspur","2147.07","948.06","50.99","102.96","50.49","133.84","32.24","36.71","791.55","972.84","122.9"
"4","2017","14","Chhattisgarh","Bilaspur","2147.07","948.79","45.32","107.53","48.84","133.95","31.09","40.9","790.44","946.02","119.68"
"4","2018","14","Chhattisgarh","Bilaspur","2147.07","946.55","45.39","102.38","53.66","137.09","32.54","38.05","791.06","946.05","119.59"
"4","2019","14","Chhattisgarh","Bilaspur","1907.55","800.54","39.84","93.26","52.17","130.35","26.71","31.32","733.04","906.15","123.62"
"4","2020","14","Chhattisgarh","Bilaspur","1907.55","798.59","39.84","101.16","43.35","130.36","24.81","27.05","742.05","925.22","124.68"
"5","2000","14","Chhattisgarh","Raigarh","1298.51","385.34","118.0","72.23","15.61","104.68","30.97","38.5","533.19","565.05","105.98"
"5","2001","14","Chhattisgarh","Raigarh","1298.51","385.15","118.0","72.08","16.45","104.83","31.48","38.3","532.22","568.2","106.76"
"5","2002","14","Chhattisgarh","Raigarh","1298.51","384.55","117.76","72.93","16.47","105.45","30.34","38.73","532.29","571.61","107.39"
"5","2003","14","Chhattisgarh","Raigarh","1298.51","385.09","117.86","72.77","16.52","105.44","30.04","38.87","531.93","584.52","109.89"
"5","2004","14","Chhattisgarh","Raigarh","1298.51","385.15","117.91","75.77","15.08","105.14","30.7","39.9","528.88","575.32","108.78"
"5","2005","14","Chhattisgarh","Raigarh","1298.51","438.89","68.15","72.93","14.77","104.84","31.76","41.06","526.11","574.12","109.13"
"5","2006","14","Chhattisgarh","Raigarh","1298.51","438.92","66.63","74.86","14.55","104.57","32.39","40.63","525.97","574.18","109.17"
"5","2007","14","Chhattisgarh","Raigarh","1298.51","437.73","67.26","74.94","15.09","104.41","33.6","40.45","525.06","573.77","109.28"
"5","2008","14","Chhattisgarh","Raigarh","1298.51","437.47","67.19","76.99","12.7","104.57","34.33","41.52","523.75","571.47","109.11"
"5","2009","14","Chhattisgarh","Raigarh","1298.51","437.82","67.27","77.29","16.73","105.03","33.42","41.24","519.72","564.63","108.64"
"5","2010","14","Chhattisgarh","Raigarh","1298.51","437.86","67.26","79.27","15.48","105.17","43.34","33.9","516.26","561.76","108.81"
"5","2011","14","Chhattisgarh","Raigarh","1298.51","437.93","67.17","80.83","13.58","106.08","32.2","46.25","514.48","559.25","108.7"
"5","2012","14","Chhattisgarh","Raigarh","1298.51","437.98","67.22","81.2","13.24","106.0","35.18","43.6","514.08","558.0","108.54"
"5","2013","14","Chhattisgarh","Raigarh","977.16","115.22","67.17","81.13","14.39","106.31","35.87","45.81","511.27","556.01","108.75"
"5","2014","14","Chhattisgarh","Raigarh","977.16","114.0","67.53","82.34","13.64","107.59","36.08","58.94","497.02","543.49","109.35"
"5","2015","14","Chhattisgarh","Raigarh","977.16","114.2","67.41","82.58","13.82","107.39","46.71","45.93","499.14","544.29","109.05"
"5","2016","14","Chhattisgarh","Raigarh","1298.51","437.62","67.18","82.73","14.63","105.81","38.4","40.3","511.85","557.24","108.87"
"5","2017","14","Chhattisgarh","Raigarh","1298.52","437.64","67.3","82.74","14.68","106.41","39.39","52.27","498.08","536.97","107.81"
"5","2018","14","Chhattisgarh","Raigarh","1298.52","437.32","67.28","83.79","16.72","106.2","39.91","39.48","507.82","545.48","107.42"
