District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,clayey_count,clayey_sum,clayey_mean
MORBI,GUJAR>T,,24,"673",539476.76472300000,4791280260.47000026703,198,1543609,7796.00505050505
AHMAD>B>D,GUJAR>T,,24,"438",857254.09464699996,6966373705.02999973297,289,1358959,4702.28027681661
>NAND,GUJAR>T,,24,"440",393046.69052300003,3054307464.84000015259,126,150451,1194.05555555556
DEVBHUMI DW>RKA,GUJAR>T,,24,"674",661732.98652999999,4002784449.65999984741,167,664963,3981.81437125749
J>MNAGAR,GUJAR>T,,24,"447",737428.07188399998,5694270687.81999969482,240,1616146,6733.94166666667
KACHCHH,GUJAR>T,,24,"449",2097006.99668000010,39131654163.69999694824,1623,781042,481.233518176217
BH>VNAGAR,GUJAR>T,,24,"443",505012.24022099999,6514338031.34999942780,267,1890731,7081.38951310861
BHAR@CH,GUJAR>T,,24,"442",802579.90107599995,4745943030.64999961853,198,1044714,5276.33333333333
S@RAT,GUJAR>T,,24,"459",523086.27817900002,4175888238.05000019073,173,1152167,6659.92485549133
NAVS>RI,GUJAR>T,,24,"453",327510.17020499997,2126084215.16000008583,89,606042,6809.4606741573
VALS>D,GUJAR>T,,24,"462",503925.52896400000,2846762616.40000009537,117,298277,2549.37606837607
AGAR MALWA,MADHYA PRADESH,,23,"667",374654.34239700000,2626911357.63000011444,111,877836,7908.43243243243
DISPUTED (RATLAM & MANDSAUR),MADHYA PRADESH,,23,,12984.58521330000,1263972.38528999989,0.0525857014330274,97.9676763377407,1863.0097853218
>GRA,UTTAR PRADESH,,9,"118",787929.47860300005,3902791485.67999982834,163,70822,434.490797546012
AJMER,R>JASTH>N,,8,"86",812709.25638799998,8160298609.52000045776,343,85920,250.495626822157
>LAPPUZHA,KERALA,,32,"554",295137.80891600001,1453745489.94000005722,58,185911,3205.36206896552
AL|GARH,UTTAR PRADESH,,9,"119",498779.44332800002,3585997343.21999979019,148,136414,921.716216216216
ALIRAJPUR,MADHYA PRADESH,,23,"639",481486.80244599999,3206796950.71000003815,130,556649,4281.91538461538
DISPUTED (ALIRAJPUR & D>HOD),DISPUTED (MADHYA PRADESH & GUJAR>T),,0,,18063.05542870000,4222065.23000000045,0.175540197851567,1752.14146716488,9981.4258421108
ALMORA,UTTAR>KHAND,,5,"45",394957.24764900003,3054451807.94999980927,124,0,0
ALWAR,R>JASTH>N,,8,"87",908983.51874900004,8091212384.84000015259,335,12773,38.1283582089552
AMBEDKARNAGAR,UTTAR PRADESH,,9,"121",384817.94375400001,2242460943.92000007629,91,110376,1212.92307692308
AMETHI,UTTAR PRADESH,,9,"640",396742.73799400002,2336051998.92000007629,98,431795,4406.07142857143
AMROHA,UTTAR PRADESH,,9,"154",364954.37971399998,2379925279.25000000000,98,5770,58.8775510204082
ANANTAPUR,ANDHRA PRADESH,,28,"502",1524559.50704999990,19165556643.40000152588,776,2645863,3409.61726804124
ANUGUL,ODISHA,,21,"344",605948.92970800004,6144341883.10000038147,256,512664,2002.59375
ANUPPUR,MADHYA PRADESH,,23,"390",563005.80408799998,3628974441.69000005722,150,338198,2254.65333333333
ARAVALLI,GUJAR>T,,24,"672",424917.88691800000,3030307976.92999935150,129,433306,3358.96124031008
ASHOKNAGAR,MADHYA PRADESH,,23,"391",428702.34131400002,4554381637.06999969482,189,1598978,8460.20105820106
AURAIYA,UTTAR PRADESH,,9,"122",279215.51035699999,1944745434.89000010490,81,6085,75.1234567901235
AZAMGARH,UTTAR PRADESH,,9,"123",498671.91985200002,4057541804.43000030518,171,13341,78.0175438596491
BUDAUN,UTTAR PRADESH,,9,"133",449698.11925300001,4112357065.93999958038,169,10318,61.0532544378698
B>GALKOT,KARN>TAKA,,29,"524",659839.06856799999,6414875097.54000091553,267,1045649,3916.28838951311
B>GESHWAR,UTTAR>KHAND,,5,"46",315673.15984199999,2173075913.40000009537,88,0,0
B>GHPAT,UTTAR PRADESH,,9,"124",218392.98638100000,1281800382.94000005722,52,0,0
BAHRAICH,UTTAR PRADESH,,9,"125",578747.61541500001,4776946197.07999992371,194,294969,1520.4587628866
BALAGHAT,MADHYA PRADESH,,23,"392",711298.24101999996,8904866537.20999908447,366,1391793,3802.7131147541
BOLANGIR (BALANGIR),ODISHA,,21,"345",560766.02267900005,6318357757.31000041962,263,1151464,4378.19011406844
BALASORE (B>LESHWAR),ODISHA,,21,"346",554559.33411299996,3581349597.40000009537,149,253946,1704.3355704698
BALL>RI,KARN>TAKA,,29,"528",780219.72859700001,8330054798.35999965668,334,1116762,3343.59880239521
BALLIA,UTTAR PRADESH,,9,"126",435847.66576000000,2878350458.86999988556,115,0,0
B>LOD,CHHATT|SGARH,,22,"646",415028.30758899997,3249540771.94000005722,137,578972,4226.07299270073
BALODA B>Z>R,CHHATT|SGARH,,22,"644",485313.89706900000,4495468285.35000038147,185,1190120,6433.08108108108
BALR>MPUR,CHHATT|SGARH,,22,"649",652255.34440800000,6029078270.35000038147,249,434475,1744.87951807229
BALRAMPUR,UTTAR PRADESH,,9,"127",461650.34350100002,3225738696.21000003815,131,20635,157.519083969466
BANAS K>NTHA,GUJAR>T,,24,"441",916373.29006599996,10349019412.60000038147,427,323074,756.613583138173
BANDA,UTTAR PRADESH,,9,"128",666400.81344199996,4283882474.25000000000,176,758312,4308.59090909091
B>NSW>RA,R>JASTH>N,,8,"88",411359.21857899998,4336303719.10000038147,182,1019556,5601.95604395604
BARABANKI,UTTAR PRADESH,,9,"129",489434.66960500000,3707078880.88000059128,152,113891,749.282894736842
BARAGARH,ODISHA,,21,"347",603877.34730499994,5624674392.31999969482,229,1229836,5370.46288209607
B>R>N,R>JASTH>N,,8,"89",632102.19394200004,6726828635.93999958038,277,1883169,6798.4440433213
BAREILLY,UTTAR PRADESH,,9,"130",516176.11593099998,3985895113.98000049591,164,91901,560.371951219512
B>RMER,R>JASTH>N,,8,"90",1049617.25185999996,27319207031.20000076294,1140,90687,79.55
BARWANI,MADHYA PRADESH,,23,"393",493718.64227000001,5227384390.81000041962,220,866458,3938.44545454545
BASTAR,CHHATT|SGARH,,22,"374",569531.12597599998,5228700398.78999996185,218,489831,2246.93119266055
BASTI,UTTAR PRADESH,,9,"131",371752.22380799998,2684574246.21000003815,113,30704,271.716814159292
BELAG>VI,KARN>TAKA,,29,"527",1101145.49922999996,13157389060.90000152588,535,2069162,3867.59252336449
BEMET>RA,CHHATT|SGARH,,22,"650",379763.71248699998,2155425658.03999996185,88,724037,8227.69318181818
BENGAL@RU RURAL,KARN>TAKA,,29,"526",491266.99765999999,2286911394.90999984741,97,584675,6027.57731958763
BENGAL@RU URBAN,KARN>TAKA,,29,"525",332478.19448300003,2189237083.51000022888,86,349254,4061.09302325581
BETUL,MADHYA PRADESH,,23,"394",726502.59591699997,9679103297.63999938965,408,1592745,3903.78676470588
BHADOHI,UTTAR PRADESH,,9,"179",273256.72492399998,976420388.66999995708,40,42775,1069.375
BHADRAK,ODISHA,,21,"348",356631.20418399997,2415828025.28999996185,98,184948,1887.22448979592
BHARATPUR,R>JASTH>N,,8,"91",731664.14342099999,4881165658.53999996185,203,0,0
BH|LW>RA,R>JASTH>N,,8,"92",724746.61398599995,10089945542.29999923706,426,140620,330.093896713615
BHIND,MADHYA PRADESH,,23,"395",592535.66903999995,4298496364.60000038147,179,1212600,6774.30167597765
BHOPAL,MADHYA PRADESH,,23,"396",378109.02190900000,2660915967.94999980927,110,732894,6662.67272727273
B|DAR,KARN>TAKA,,29,"529",551963.04584999999,5296106339.05000019073,218,1030108,4725.26605504587
B|J>PUR,CHHATT|SGARH,,22,"636",717764.34033599996,8962483683.11000061035,367,1051947,2866.34059945504
BIJNOR,UTTAR PRADESH,,9,"132",381323.12095499999,4465254228.84000015259,185,18838,101.827027027027
B|K>NER,R>JASTH>N,,8,"93",1180982.39229999995,29242823510.20000076294,1210,0,0
BIL>SPUR,CHHATT|SGARH,,22,"375",447081.50785599998,3410747938.82000017166,142,549133,3867.1338028169
GAURELA-PENDRA-MARWAHI,CHHATT|SGARH,,22,"734",269819.93649300002,1918218806.11999964714,82,212775,2594.81707317073
BIL>SPUR,HIM>CHAL PRADESH,,2,"15",253303.28362500001,1139841150.08999991417,49,0,0
BISHNUPUR,MANIPUR,,14,"252",158213.28630800001,461820332.27200001478,20,34860,1743
BOKARO,JH>RKHAND,,20,"322",426028.25347699999,2769081510.11999988556,119,436287,3666.27731092437
BULANDSHAHR,UTTAR PRADESH,,9,"134",383798.39097000001,3402373200.41000032425,142,4314,30.3802816901408
B@NDI,R>JASTH>N,,8,"94",483675.26263399998,5557825521.47000026703,229,511165,2232.1615720524
BURHANPUR,MADHYA PRADESH,,23,"397",333906.40709200001,3107225756.71999979019,128,536883,4194.3984375
CENTRAL,DELHI,,7,"77",92366.02411550000,103186016.09400001168,3,0,0
CH>MAR>JANAGAR,KARN>TAKA,,29,"531",591094.40235300001,5667936944.09000015259,229,1142691,4989.91703056769
CHAMBA,HIM>CHAL PRADESH,,2,"16",561018.42641199997,6411374707.60999965668,260,0,0
CHAMP>WAT,UTTAR>KHAND,,5,"48",271591.23589200003,1715186952.97000002861,71,0,0
CHAMPH>I,MIZORAM,,15,"262",417447.64627299999,3269846214.01000070572,137,276924,2021.34306569343
CHANDAULI,UTTAR PRADESH,,9,"135",383495.88005899999,2452050714.15000009537,102,180868,1773.21568627451
CHANDEL,MANIPUR,,14,"253",237512.98587400001,1896502418.80999994278,78,327803,4202.60256410256
CHANDIGARH,CHAND|GARH,,4,"44",62113.07637860000,111867387.14599999785,5,0,0
CHATRA,JH>RKHAND,,20,"323",563467.09325899999,3659068583.38000059128,156,445065,2852.98076923077
CHHATARPUR,MADHYA PRADESH,,23,"398",996335.29110799998,8344542362.18999958038,348,1215087,3491.62931034483
CHHINDWARA,MADHYA PRADESH,,23,"399",814856.77476800000,11368092974.29999923706,467,1901944,4072.6852248394
CHHOTA UDEPUR,GUJAR>T,,24,"668",515414.99447699997,3326713607.30000019073,139,1172014,8431.75539568345
CHIK BALL>PUR,KARN>TAKA,,29,"630",493203.11986500002,4213065376.55999994278,171,570953,3338.90643274854
CHIKKAMAGAL@RU,KARN>TAKA,,29,"532",590659.05133000005,7157359114.53999996185,287,1219133,4247.85017421603
CHITRADURGA,KARN>TAKA,,29,"533",674318.41025099996,8346938429.78999996185,338,1749946,5177.3550295858
CHITRAKOOT,UTTAR PRADESH,,9,"136",533683.22727000003,3070689929.17999982834,128,178193,1392.1328125
CHITTAURGARH,R>JASTH>N,,8,"95",1003416.54359999998,7515310038.81000041962,316,254776,806.253164556962
CHITTOOR,ANDHRA PRADESH,,28,"503",1287744.15934000001,14907547828.40000152588,604,2416317,4000.52483443709
CHUR>CH>NDPUR,MANIPUR,,14,"254",288454.45405000000,2341837747.98000001907,100,93882,938.82
