District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,floamy_count,floamy_sum,floamy_mean
MORBI,GUJAR>T,,24,"673",539476.76472300000,4791280260.47000026703,198,92152,465.414141414141
AHMAD>B>D,GUJAR>T,,24,"438",857254.09464699996,6966373705.02999973297,289,1100813,3809.04152249135
>NAND,GUJAR>T,,24,"440",393046.69052300003,3054307464.84000015259,126,844504,6702.4126984127
DEVBHUMI DW>RKA,GUJAR>T,,24,"674",661732.98652999999,4002784449.65999984741,167,165824,992.958083832335
J>MNAGAR,GUJAR>T,,24,"447",737428.07188399998,5694270687.81999969482,240,181724,757.183333333333
KACHCHH,GUJAR>T,,24,"449",2097006.99668000010,39131654163.69999694824,1623,5896600,3633.14849044978
BH>VNAGAR,GUJAR>T,,24,"443",505012.24022099999,6514338031.34999942780,267,222986,835.153558052435
BHAR@CH,GUJAR>T,,24,"442",802579.90107599995,4745943030.64999961853,198,398657,2013.41919191919
S@RAT,GUJAR>T,,24,"459",523086.27817900002,4175888238.05000019073,173,101038,584.034682080925
NAVS>RI,GUJAR>T,,24,"453",327510.17020499997,2126084215.16000008583,89,57359,644.483146067416
VALS>D,GUJAR>T,,24,"462",503925.52896400000,2846762616.40000009537,117,539636,4612.2735042735
AGAR MALWA,MADHYA PRADESH,,23,"667",374654.34239700000,2626911357.63000011444,111,133148,1199.53153153153
DISPUTED (RATLAM & MANDSAUR),MADHYA PRADESH,,23,,12984.58521330000,1263972.38528999989,0.0525857014330274,0,0
>GRA,UTTAR PRADESH,,9,"118",787929.47860300005,3902791485.67999982834,163,1389802,8526.39263803681
AJMER,R>JASTH>N,,8,"86",812709.25638799998,8160298609.52000045776,343,2680726,7815.527696793
>LAPPUZHA,KERALA,,32,"554",295137.80891600001,1453745489.94000005722,58,0,0
AL|GARH,UTTAR PRADESH,,9,"119",498779.44332800002,3585997343.21999979019,148,1171655,7916.58783783784
ALIRAJPUR,MADHYA PRADESH,,23,"639",481486.80244599999,3206796950.71000003815,130,698010,5369.30769230769
DISPUTED (ALIRAJPUR & D>HOD),DISPUTED (MADHYA PRADESH & GUJAR>T),,0,,18063.05542870000,4222065.23000000045,0.175540197851567,0.328352674732953,1.87052697189392
ALMORA,UTTAR>KHAND,,5,"45",394957.24764900003,3054451807.94999980927,124,922042,7435.82258064516
ALWAR,R>JASTH>N,,8,"87",908983.51874900004,8091212384.84000015259,335,2144297,6400.88656716418
AMBEDKARNAGAR,UTTAR PRADESH,,9,"121",384817.94375400001,2242460943.92000007629,91,616466,6774.35164835165
AMETHI,UTTAR PRADESH,,9,"640",396742.73799400002,2336051998.92000007629,98,485807,4957.21428571429
AMROHA,UTTAR PRADESH,,9,"154",364954.37971399998,2379925279.25000000000,98,666685,6802.90816326531
ANANTAPUR,ANDHRA PRADESH,,28,"502",1524559.50704999990,19165556643.40000152588,776,207569,267.485824742268
ANUGUL,ODISHA,,21,"344",605948.92970800004,6144341883.10000038147,256,1787059,6980.69921875
ANUPPUR,MADHYA PRADESH,,23,"390",563005.80408799998,3628974441.69000005722,150,1104083,7360.55333333333
ARAVALLI,GUJAR>T,,24,"672",424917.88691800000,3030307976.92999935150,129,706118,5473.78294573643
ASHOKNAGAR,MADHYA PRADESH,,23,"391",428702.34131400002,4554381637.06999969482,189,86927,459.931216931217
AURAIYA,UTTAR PRADESH,,9,"122",279215.51035699999,1944745434.89000010490,81,744065,9185.98765432099
AZAMGARH,UTTAR PRADESH,,9,"123",498671.91985200002,4057541804.43000030518,171,1427225,8346.34502923977
BUDAUN,UTTAR PRADESH,,9,"133",449698.11925300001,4112357065.93999958038,169,1483974,8780.91124260355
