District,STATE,REMARKS,State_LGD,DISTRICT_L,Shape_Leng,Shape_Area,sandy_count,sandy_sum,sandy_mean
MORBI,GUJAR>T,,24,"673",539476.76472300000,4791280260.47000026703,198,0,0
AHMAD>B>D,GUJAR>T,,24,"438",857254.09464699996,6966373705.02999973297,289,0,0
>NAND,GUJAR>T,,24,"440",393046.69052300003,3054307464.84000015259,126,502,3.98412698412698
DEVBHUMI DW>RKA,GUJAR>T,,24,"674",661732.98652999999,4002784449.65999984741,167,1960,11.7365269461078
J>MNAGAR,GUJAR>T,,24,"447",737428.07188399998,5694270687.81999969482,240,0,0
KACHCHH,GUJAR>T,,24,"449",2097006.99668000010,39131654163.69999694824,1623,486743,299.903265557609
BH>VNAGAR,GUJAR>T,,24,"443",505012.24022099999,6514338031.34999942780,267,0,0
BHAR@CH,GUJAR>T,,24,"442",802579.90107599995,4745943030.64999961853,198,0,0
S@RAT,GUJAR>T,,24,"459",523086.27817900002,4175888238.05000019073,173,10831,62.606936416185
NAVS>RI,GUJAR>T,,24,"453",327510.17020499997,2126084215.16000008583,89,0,0
VALS>D,GUJAR>T,,24,"462",503925.52896400000,2846762616.40000009537,117,0,0
AGAR MALWA,MADHYA PRADESH,,23,"667",374654.34239700000,2626911357.63000011444,111,0,0
DISPUTED (RATLAM & MANDSAUR),MADHYA PRADESH,,23,,12984.58521330000,1263972.38528999989,0.0525857014330274,0,0
>GRA,UTTAR PRADESH,,9,"118",787929.47860300005,3902791485.67999982834,163,0,0
AJMER,R>JASTH>N,,8,"86",812709.25638799998,8160298609.52000045776,343,178594,520.68221574344
>LAPPUZHA,KERALA,,32,"554",295137.80891600001,1453745489.94000005722,58,27331,471.224137931034
AL|GARH,UTTAR PRADESH,,9,"119",498779.44332800002,3585997343.21999979019,148,27609,186.547297297297
ALIRAJPUR,MADHYA PRADESH,,23,"639",481486.80244599999,3206796950.71000003815,130,0,0
DISPUTED (ALIRAJPUR & D>HOD),DISPUTED (MADHYA PRADESH & GUJAR>T),,0,,18063.05542870000,4222065.23000000045,0.175540197851567,0,0
ALMORA,UTTAR>KHAND,,5,"45",394957.24764900003,3054451807.94999980927,124,74326,599.403225806452
ALWAR,R>JASTH>N,,8,"87",908983.51874900004,8091212384.84000015259,335,425841,1271.1671641791
AMBEDKARNAGAR,UTTAR PRADESH,,9,"121",384817.94375400001,2242460943.92000007629,91,0,0
AMETHI,UTTAR PRADESH,,9,"640",396742.73799400002,2336051998.92000007629,98,0,0
AMROHA,UTTAR PRADESH,,9,"154",364954.37971399998,2379925279.25000000000,98,205645,2098.41836734694
ANANTAPUR,ANDHRA PRADESH,,28,"502",1524559.50704999990,19165556643.40000152588,776,0,0
ANUGUL,ODISHA,,21,"344",605948.92970800004,6144341883.10000038147,256,0,0
ANUPPUR,MADHYA PRADESH,,23,"390",563005.80408799998,3628974441.69000005722,150,0,0
ARAVALLI,GUJAR>T,,24,"672",424917.88691800000,3030307976.92999935150,129,9068,70.2945736434109
ASHOKNAGAR,MADHYA PRADESH,,23,"391",428702.34131400002,4554381637.06999969482,189,0,0
AURAIYA,UTTAR PRADESH,,9,"122",279215.51035699999,1944745434.89000010490,81,0,0
AZAMGARH,UTTAR PRADESH,,9,"123",498671.91985200002,4057541804.43000030518,171,0,0
BUDAUN,UTTAR PRADESH,,9,"133",449698.11925300001,4112357065.93999958038,169,71359,422.242603550296
B>GALKOT,KARN>TAKA,,29,"524",659839.06856799999,6414875097.54000091553,267,0,0
B>GESHWAR,UTTAR>KHAND,,5,"46",315673.15984199999,2173075913.40000009537,88,96193,1093.10227272727
B>GHPAT,UTTAR PRADESH,,9,"124",218392.98638100000,1281800382.94000005722,52,65169,1253.25
BAHRAICH,UTTAR PRADESH,,9,"125",578747.61541500001,4776946197.07999992371,194,188024,969.19587628866
BALAGHAT,MADHYA PRADESH,,23,"392",711298.24101999996,8904866537.20999908447,366,0,0
BOLANGIR (BALANGIR),ODISHA,,21,"345",560766.02267900005,6318357757.31000041962,263,0,0
BALASORE (B>LESHWAR),ODISHA,,21,"346",554559.33411299996,3581349597.40000009537,149,0,0
BALL>RI,KARN>TAKA,,29,"528",780219.72859700001,8330054798.35999965668,334,0,0
BALLIA,UTTAR PRADESH,,9,"126",435847.66576000000,2878350458.86999988556,115,44,0.382608695652174
B>LOD,CHHATT|SGARH,,22,"646",415028.30758899997,3249540771.94000005722,137,0,0
BALODA B>Z>R,CHHATT|SGARH,,22,"644",485313.89706900000,4495468285.35000038147,185,0,0
BALR>MPUR,CHHATT|SGARH,,22,"649",652255.34440800000,6029078270.35000038147,249,37927,152.317269076305
BALRAMPUR,UTTAR PRADESH,,9,"127",461650.34350100002,3225738696.21000003815,131,67196,512.946564885496
BANAS K>NTHA,GUJAR>T,,24,"441",916373.29006599996,10349019412.60000038147,427,571425,1338.2318501171
BANDA,UTTAR PRADESH,,9,"128",666400.81344199996,4283882474.25000000000,176,132132,750.75
B>NSW>RA,R>JASTH>N,,8,"88",411359.21857899998,4336303719.10000038147,182,11553,63.478021978022
BARABANKI,UTTAR PRADESH,,9,"129",489434.66960500000,3707078880.88000059128,152,1125,7.40131578947368
