Timestamp,Temperature (C),Humidity (%)
2025-08-12 08:49:04,0.7,0
2025-08-12 08:49:15,30.0,77
2025-08-12 08:49:25,30.4,77
2025-08-12 08:49:56,30.7,77
2025-08-12 08:50:06,30.7,77
2025-08-12 08:50:37,30.7,77
2025-08-12 08:50:47,30.3,77
2025-08-12 08:50:57,30.4,77
2025-08-12 08:51:28,30.5,77
2025-08-12 08:51:38,30.2,77
2025-08-12 08:51:49,30.1,77
2025-08-12 08:51:59,30.3,77
2025-08-12 08:52:09,30.8,77
2025-08-12 08:53:00,30.7,77
2025-08-12 08:53:31,30.7,77
2025-08-12 08:53:42,30.7,77
2025-08-12 08:53:52,30.8,77
2025-08-12 08:54:02,30.4,77
2025-08-12 08:54:12,30.4,77
2025-08-12 08:54:23,30.5,77
2025-08-12 10:35:27,0.2,0
2025-08-12 10:35:58,27.1,56
2025-08-12 10:36:08,27.2,56
2025-08-12 10:36:18,27.8,56
2025-08-12 10:36:39,27.2,56
2025-08-12 10:37:00,27.6,56
2025-08-12 10:37:20,27.7,56
2025-08-12 10:37:30,27.7,56
2025-08-12 10:37:51,27.5,56
2025-08-12 13:46:33,0.4,0,1023
2025-08-12 13:46:54,30.3,69,1023
2025-08-12 13:47:05,29.3,69,1023
2025-08-12 13:47:36,29.7,70,1023
2025-08-12 13:47:46,29.8,70,1023
2025-08-12 13:48:06,29.7,70,1023
2025-08-12 13:48:29,29.3,69,1023
2025-08-12 13:48:59,29.6,70,1023
2025-08-12 13:49:10,29.1,69,1023
2025-08-12 13:49:20,29.3,69,1023
2025-08-12 13:49:30,29.1,69,1023
2025-08-12 13:49:40,29.1,69,1023
2025-08-12 13:49:51,29.7,69,1010
2025-08-12 13:50:11,30.3,69,1013
2025-08-12 13:50:22,30.5,69,1017
2025-08-12 13:51:23,29.7,69,1014
2025-08-12 13:51:34,29.6,69,1015
2025-08-12 13:51:44,30.3,69,1015
2025-08-12 13:51:54,30.5,69,1022
2025-08-12 13:52:04,30.5,69,1022
2025-08-12 13:52:15,30.4,69,1022
2025-08-12 13:52:25,30.6,69,1021
2025-08-12 13:52:35,30.5,69,1023
2025-08-12 13:52:45,30.4,69,1023
2025-08-12 13:52:56,30.9,69,1023
2025-08-12 13:53:06,30.6,69,1023
2025-08-12 13:53:16,30.3,69,1023
2025-08-12 13:53:27,30.8,69,1023
2025-08-12 14:20:36,0.4,0,1023
2025-08-12 14:20:48,30.0,69,1023
2025-08-12 14:20:58,30.5,69,1021
2025-08-12 14:21:09,30.2,69,1023
2025-08-12 14:21:19,30.0,69,1023
2025-08-12 14:21:29,30.8,69,1023
2025-08-12 14:21:39,30.8,69,1023
2025-08-12 14:23:01,30.1,69,1023
2025-08-12 14:23:22,30.8,69,1023
2025-08-12 14:23:32,30.9,69,1023
2025-08-12 14:23:43,30.9,69,1023
2025-08-12 14:24:03,30.7,69,1023
2025-08-12 14:24:13,29.3,69,1023
2025-08-12 14:24:24,29.0,69,1023
2025-08-12 14:24:44,30.2,69,1023
2025-08-12 14:25:25,30.4,69,1023
2025-08-12 14:25:36,30.8,69,1023
2025-08-12 14:26:06,30.3,69,1023
2025-08-12 14:26:27,30.4,69,1019
2025-08-12 14:26:37,30.9,69,1011
2025-08-12 14:26:47,30.6,69,1019
2025-08-12 14:26:58,30.9,69,1021
2025-08-12 14:27:08,30.4,69,1023
2025-08-12 14:27:18,30.7,69,1019
2025-08-12 14:27:59,30.9,68,1006
2025-08-12 14:28:10,30.4,69,1023
2025-08-12 14:28:20,30.9,68,1023
2025-08-12 14:28:30,30.4,68,1023
2025-08-12 14:28:40,30.2,68,1023
2025-08-12 14:28:51,30.6,68,1022
2025-08-12 14:29:21,30.7,68,1023
2025-08-12 14:29:32,30.4,69,1022
2025-08-12 14:30:13,30.0,68,1023
2025-08-12 14:30:33,30.7,68,1023
2025-08-12 14:30:54,30.6,68,1023
2025-08-12 14:31:14,30.0,68,1023
